,msla,msla (orig),trend,msla (detrend)
1977-01-31,,,-14.866940093975721,
1977-02-28,,,-14.822164786736188,
1977-03-31,,,-14.777389479496655,
1977-04-30,,,-14.732614172257122,
1977-05-31,-5.358333333333334,-2.1,-14.68783886501759,9.329505531684255
1977-06-30,-8.890909090909084,-6.2,-14.643063557778056,5.752154466868973
1977-07-31,-9.545454545454554,-6.6,-14.598288250538523,5.05283370508397
1977-08-31,-14.272727272727273,-10.9,-14.55351294329899,0.2807856705717171
1977-09-30,-5.81818181818182,-1.4,-14.508737636059458,8.690555817877637
1977-10-31,-7.458333333333336,-3.7,-14.463962328819932,7.005628995486596
1977-11-30,-11.916666666666664,-10.5,-14.419187021580399,2.5025203549137345
1977-12-31,-14.700000000000003,-13.2,-14.374411714340866,-0.325588285659137
1978-01-31,-13.599999999999994,-10.7,-14.329636407101333,0.7296364071013386
1978-02-28,-3.4833333333333343,-0.7,-14.2848610998618,10.801527766528466
1978-03-31,-19.19166666666667,-16.6,-14.240085792622267,-4.951580874044403
1978-04-30,-17.683333333333337,-14.5,-14.195310485382734,-3.488022847950603
1978-05-31,-8.458333333333336,-5.2,-14.150535178143201,5.6922018448098655
1978-06-30,-11.890909090909084,-9.2,-14.105759870903675,2.214850779994592
1978-07-31,-11.345454545454551,-8.4,-14.060984563664142,2.7155300182095914
1978-08-31,-9.172727272727272,-5.8,-14.01620925642461,4.8434819836973375
1978-09-30,-4.718181818181819,-0.3,-13.971433949185077,9.253252131003258
1978-10-31,-8.05833333333333,-4.3,-13.926658641945544,5.868325308612214
1978-11-30,-0.21666666666666856,1.2,-13.88188333470601,13.665216668039342
1978-12-31,-15.600000000000009,-14.1,-13.837108027466478,-1.7628919725335308
1979-01-31,,,-13.792332720226945,
1979-02-28,-21.183333333333337,-18.4,-13.747557412987412,-7.435775920345925
1979-03-31,-16.09166666666667,-13.5,-13.702782105747886,-2.3888845609187825
1979-04-30,-9.583333333333343,-6.4,-13.658006798508353,4.07467346517501
1979-05-31,-9.858333333333334,-6.6,-13.61323149126882,3.754898157935486
1979-06-30,-15.69090909090908,-13.0,-13.568456184029287,-2.1224529068797935
1979-07-31,-10.445454545454552,-7.5,-13.523680876789754,3.078226331335202
1979-08-31,-4.672727272727272,-1.3,-13.478905569550221,8.80617829682295
1979-09-30,-11.81818181818182,-7.4,-13.434130262310688,1.6159484441288683
1979-10-31,-6.158333333333331,-2.4,-13.389354955071155,7.231021621737824
1979-11-30,-5.016666666666666,-3.6,-13.344579647831623,8.327912981164957
1979-12-31,-10.200000000000003,-8.7,-13.299804340592097,3.099804340592094
1980-01-31,-2.0999999999999943,0.8,-13.255029033352564,11.15502903335257
1980-02-29,-10.583333333333336,-7.8,-13.21025372611303,2.626920392779695
1980-03-31,-4.69166666666667,-2.1,-13.165478418873498,8.473811752206828
1980-04-30,5.916666666666657,9.1,-13.120703111633965,19.037369778300622
1980-05-31,1.5416666666666643,4.8,-13.075927804394432,14.617594471061096
1980-06-30,,,-13.031152497154899,
1980-07-31,2.654545454545449,5.6,-12.986377189915366,15.640922644460815
1980-08-31,-2.872727272727275,0.5,-12.941601882675833,10.068874609948558
1980-09-30,-8.718181818181819,-4.3,-12.896826575436307,4.178644757254489
1980-10-31,-7.758333333333333,-4.0,-12.852051268196774,5.093717934863442
1980-11-30,-9.116666666666667,-7.7,-12.807275960957242,3.6906092942905744
1980-12-31,2.299999999999997,3.8,-12.762500653717709,15.062500653717706
1981-01-31,-11.5,-8.6,-12.717725346478176,1.2177253464781757
1981-02-28,,,-12.672950039238643,
1981-03-31,,,-12.62817473199911,
1981-04-30,-17.583333333333343,-14.4,-12.583399424759577,-4.999933908573766
1981-05-31,-4.958333333333336,-1.7,-12.538624117520051,7.580290784186715
1981-06-30,-9.69090909090908,-7.0,-12.493848810280518,2.8029397193714374
1981-07-31,-3.845454545454551,-0.9,-12.449073503040985,8.603618957586434
1981-08-31,-9.07272727272727,-5.7,-12.404298195801452,3.3315709230741817
1981-09-30,-13.31818181818182,-8.9,-12.35952288856192,-0.9586589296199008
1981-10-31,-4.55833333333333,-0.8,-12.314747581322386,7.756414247989056
1981-11-30,0.28333333333333144,1.7,-12.269972274082853,12.553305607416185
1981-12-31,-1.4000000000000057,0.1,-12.22519696684332,10.825196966843315
