,msla,msla (orig),trend,msla (detrend)
1948-01-31,,,-52.80719580724811,
1948-02-29,,,-52.728376367516816,
1948-03-31,,,-52.649556927785525,
1948-04-30,,,-52.570737488054235,
1948-05-31,,,-52.491918048322944,
1948-06-30,,,-52.41309860859165,
1948-07-31,,,-52.33427916886036,
1948-08-31,,,-52.255459729129065,
1948-09-30,,,-52.176640289397774,
1948-10-31,-20.572727272727263,-16.4,-52.09782084966648,31.52509357693922
1948-11-30,-26.036363636363646,-21.7,-52.01900140993519,25.982637773571547
1948-12-31,-25.60000000000001,-21.4,-51.9401819702039,26.340181970203894
1949-01-31,-24.389999999999986,-19.7,-51.86136253047261,27.471362530472625
1949-02-28,-17.88333333333334,-13.7,-51.78254309074132,33.89920975740798
1949-03-31,-16.29166666666667,-12.2,-51.70372365101003,35.41205698434336
1949-04-30,-16.325000000000017,-10.3,-51.62490421127873,35.299904211278715
1949-05-31,-9.827272727272728,-2.2,-51.54608477154744,41.71881204427471
1949-06-30,-17.218181818181804,-10.9,-51.46726533181615,34.249083513634346
1949-07-31,-18.390909090909105,-13.3,-51.38844589208486,32.997536801175755
1949-08-31,,,-51.30962645235357,
1949-09-30,,,-51.23080701262228,
1949-10-31,,,-51.15198757289099,
1949-11-30,-17.536363636363646,-13.2,-51.0731681331597,33.53680449679605
1949-12-31,-10.700000000000003,-6.5,-50.9943486934284,40.2943486934284
1950-01-31,-8.489999999999995,-3.8,-50.91552925369711,42.425529253697114
1950-02-28,-10.483333333333334,-6.3,-50.83670981396582,40.353376480632484
1950-03-31,-8.291666666666671,-4.2,-50.75789037423453,42.466223707567856
1950-04-30,-8.825000000000017,-2.8,-50.67907093450324,41.85407093450322
1950-05-31,-10.727272727272734,-3.1,-50.600251494771946,39.87297876749921
1950-06-30,-14.118181818181796,-7.8,-50.521432055040655,36.40325023685886
1950-07-31,-18.190909090909102,-13.1,-50.442612615309365,32.25170352440026
1950-08-31,-17.75833333333334,-12.9,-50.36379317557807,32.60545984224473
1950-09-30,-15.072727272727292,-10.5,-50.284973735846776,35.212246463119484
1950-10-31,-11.772727272727266,-7.6,-50.206154296115486,38.43342702338822
1950-11-30,-10.536363636363646,-6.2,-50.127334856384195,39.59097122002055
1950-12-31,-7.400000000000006,-3.2,-50.048515416652904,42.6485154166529
1951-01-31,-9.889999999999986,-5.2,-49.969695976921614,40.07969597692163
1951-02-28,-3.583333333333343,0.6,-49.89087653719032,46.30754320385698
1951-03-31,-1.691666666666677,2.4,-49.81205709745903,48.120390430792355
1951-04-30,-6.625000000000014,-0.6,-49.73323765772774,43.10823765772773
1951-05-31,-13.927272727272737,-6.3,-49.654418217996444,35.72714549072371
1951-06-30,-16.218181818181804,-9.9,-49.57559877826515,33.35741696008335
1951-07-31,-16.29090909090911,-11.2,-49.49677933853386,33.20587024762475
1951-08-31,-16.45833333333333,-11.6,-49.41795989880257,32.95962656546924
1951-09-30,-15.872727272727289,-11.3,-49.33914045907128,33.46641318634399
1951-10-31,-15.87272727272726,-11.7,-49.26032101933999,33.38759374661273
1951-11-30,-16.836363636363643,-12.5,-49.1815015796087,32.34513794324506
1951-12-31,,,-49.10268213987741,
1952-01-31,-17.189999999999984,-12.5,-49.02386270014611,31.833862700146128
1952-02-29,-18.283333333333346,-14.1,-48.94504326041482,30.661709927081475
1952-03-31,-15.891666666666666,-11.8,-48.86622382068353,32.974557154016864
1952-04-30,-19.52500000000002,-13.5,-48.78740438095224,29.26240438095222
1952-05-31,-21.52727272727273,-13.9,-48.70858494122095,27.181312213948218
1952-06-30,-12.218181818181804,-5.9,-48.62976550148966,36.41158368330785
1952-07-31,-9.9909090909091,-4.9,-48.55094606175837,38.56003697084927
1952-08-31,-9.058333333333337,-4.2,-48.472126622027076,39.41379328869374
1952-09-30,-11.272727272727295,-6.7,-48.39330718229578,37.120579909568484
1952-10-31,-10.972727272727269,-6.8,-48.31448774256449,37.34176046983722
1952-11-30,-13.536363636363646,-9.2,-48.2356683028332,34.69930466646955
1952-12-31,-16.400000000000006,-12.2,-48.15684886310191,31.7568488631019
1953-01-31,-20.689999999999984,-16.0,-48.078029423370616,27.388029423370632
1953-02-28,-22.283333333333346,-18.1,-47.999209983639325,25.71587665030598
1953-03-31,-17.29166666666667,-13.2,-47.920390543908034,30.628723877241363
1953-04-30,-16.52500000000002,-10.5,-47.841571104176744,31.316571104176724
1953-05-31,-15.227272727272734,-7.6,-47.762751664445446,32.53547893717271
1953-06-30,-17.3181818181818,-11.0,-47.683932224714155,30.365750406532356
1953-07-31,-16.390909090909105,-11.3,-47.605112784982865,31.21420369407376
1953-08-31,-15.858333333333334,-11.0,-47.526293345251574,31.66796001191824
1953-09-30,-21.772727272727295,-17.2,-47.44747390552028,25.67474663279299
1953-10-31,-20.572727272727263,-16.4,-47.36865446578899,26.79592719306173
